name,price,rating,reviews,image,link
Tai nghe bluetooth V9 - Hàng nhập khẩu,150000,5,4,https://salt.tikicdn.com/cache/280x280/ts/product/a1/a6/d1/98170f93fff2a9b047d1d8cc8c78f614.png,https://tiki.vn/tai-nghe-bluetooth-v9-p275350728.html?spid=275350729
Tai nghe bluetooth nhét tai chống ồn cao cấp V5.3 chính hãng dùng cho iPhone Samsung OPPO VIVO HUAWEI XIAOMI tai nghe không dây - Hàng Chính Hãng PKCB,240000,5,1,https://salt.tikicdn.com/cache/280x280/ts/product/6b/19/af/f9967d1cf95e2d911ffb026fa4e4168f.png,https://tiki.vn/tai-nghe-bluetooth-nhet-tai-chong-on-cao-cap-v5-1-chinh-hang-dung-cho-iphone-samsung-oppo-vivo-huawei-xiaomi-tai-nghe-khong-day-hang-chinh-hang-pkcb-p194458001.html?spid=278113760
Tai Nghe Bluetooth Cao Cấp EQ2 5.3 Pin 7h Âm Thanh Sống Động Bass căng - Hàng Chính Hãng,289000,4.7,154,https://salt.tikicdn.com/cache/280x280/ts/product/e2/88/1d/de9c2274ef6f780e6a9ad1869ee14f59.jpg,https://tiki.vn/tai-nghe-bluetooth-cao-cap-hoco-eq2-5-3-pin-7h-am-thanh-song-dong-bass-cang-hang-chinh-hang-p272030678.html?spid=272030682
Tai Nghe Bluetooth Không Dây FIRO A18 - Tai Nghe FIRO A18 Bluetooth V5.3 - Điều Khiển Cảm Ứng Thông Minh - Công Nghệ Kháng Nước IPX5 - Tai Nghe Bluetooth Giảm Tiếng Ồn FIRO A18 - Phù Hợp Với Tất Cả Dòng Máy - Hàng Chính Hãng,354050,4.8,101,https://salt.tikicdn.com/cache/280x280/ts/product/51/cf/a7/923f9e1472b0f1b56c65ba5487016a9f.jpg,https://tiki.vn/tai-nghe-bluetooth-khong-day-firo-a15-tai-nghe-true-wireless-earbuds-firo-a15-bluetooth-v5-1-pin-dock-sac-380mah-thoi-gian-su-dung-5h-cam-ung-thong-minh-am-thanh-stereo-am-bass-cuc-chat-phu-hop-voi-tat-ca-dong-may-hang-chinh-hang-p197587166.html?spid=197587168
Tai Nghe Bluetooth Tai Nghe Cảm Ứng Không Dây Wireless Headset - Hàng Chính Hãng PKCB,240000,2,2,https://salt.tikicdn.com/cache/280x280/ts/product/bd/f2/4c/a84b5172d2e594938de0ef56ff83abd1.png,https://tiki.vn/tai-nghe-bluetooth-tai-nghe-cam-ung-khong-day-wireless-headset-hang-chinh-hang-pkcb-p105513634.html?spid=278114086
Tai nghe bluetooth nhét tai Neckband -hàng chính hãng,90000,2.5,2,https://salt.tikicdn.com/cache/280x280/ts/product/27/8f/98/45f7ac91869e926918fa019712493e89.png,https://tiki.vn/tai-nghe-bluetooth-nhet-tai-neckband-hang-chinh-hang-p57759987.html?spid=278113967
Tai nghe bluetooth Remax T9 siêu hay chính hãng,193030,5,2,https://salt.tikicdn.com/cache/280x280/ts/product/4a/ba/d9/42964a315df180224c1a4fb3de8cbd97.jpg,https://tiki.vn/tai-nghe-bluetooth-remax-t9-sieu-hay-chinh-hang-p17579219.html?spid=41374309
Tai nghe bluetooth F9 Pro thương hiệu PAGINI phiên bản cập nhật 2021 – Thời gian sử dụng lên tới 4h - Tai nghe không dây mang lại sự tiện lợi cho người sử dụng – Âm thanh trầm ấm - Hàng nhập khẩu,79000,4.5,10,https://salt.tikicdn.com/cache/280x280/ts/product/09/26/b0/0b7be4c5a0f70bf6bf9fd4b1590aca7f.JPG,https://tiki.vn/tai-nghe-bluetooth-f9-pro-thuong-hieu-pagini-phien-ban-cap-nhat-2021-thoi-gian-su-dung-len-toi-4h-tai-nghe-khong-day-mang-lai-su-tien-loi-cho-nguoi-su-dung-am-thanh-tram-am-p118191706.html?spid=197536474
Tai nghe bluetooth nhét tai V5.3 chính hãng chống ồn cao cấp dùng cho iPhone Samsung OPPO VIVO HUAWEI XIAOMI tai nghe không dây True Wireless - Hàng Chính Hãng PKCB,315025,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/47/2e/7c/1d05acca66b2b80db8db426ffef5c2d0.jpg,https://tiki.vn/tai-nghe-bluetooth-nhet-tai-v5-3-chinh-hang-chong-on-cao-cap-dung-cho-iphone-samsung-oppo-vivo-huawei-xiaomi-tai-nghe-khong-day-true-wireless-hang-chinh-hang-pkcb-p206231163.html?spid=278113789
"Tai nghe bluetooth Lanith F9 Pro 5.0 - Tai nghe nhét tai kết nối không dây phiên bản quốc tế - Âm bass êm và sâu, chip AIC chống gây chói tai - Thiết kế thời thượng, hiện đại - Hàng nhập khẩu - TAI0F9PRO",79000,4.1,41,https://salt.tikicdn.com/cache/280x280/ts/product/5c/f3/a8/b4eeccf7d30c9402f8c913408ab592f1.jpg,https://tiki.vn/tai-nghe-bluetooth-lanith-f9-pro-5-0-tai-nghe-nhet-tai-ket-noi-khong-day-phien-ban-quoc-te-am-bass-em-va-sau-chip-aic-chong-gay-choi-tai-thiet-ke-thoi-thuong-hien-dai-hang-nhap-khau-tai0f9pro-p90082542.html?spid=173740234
